Sex,How Often Shower,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Recycles_Paper,Recycles_Plastic,Recycles_Glass,Recycles_Metal,Cooking_Stove,Cooking_Oven,Cooking_Microwave,Cooking_Grill,Cooking_Airfryer,Body Type_normal,Body Type_obese,Body Type_overweight,Body Type_underweight,Diet_omnivore,Diet_pescatarian,Diet_vegan,Diet_vegetarian,Heating Energy Source_coal,Heating Energy Source_electricity,Heating Energy Source_natural gas,Heating Energy Source_wood,Transport_private,Transport_public,Transport_walk/bicycle,Vehicle Type_diesel,Vehicle Type_electric,Vehicle Type_hybrid,Vehicle Type_lpg,Vehicle Type_none,Vehicle Type_petrol,Social Activity_never,Social Activity_often,Social Activity_sometimes,Waste Bag Size_extra large,Waste Bag Size_large,Waste Bag Size_medium,Waste Bag Size_small,CarbonEmission_log
1,1,230,2,210,4,7,26,1,0,2238,0,0,0,1,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,7.713784616598755
1,0,114,1,9,3,9,38,5,0,1892,0,0,0,1,1,0,1,0,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,7.545918151209323
0,2,138,0,2472,1,14,47,6,1,2595,0,0,0,1,0,1,1,0,0,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,7.86172707782398
0,3,157,1,74,3,20,5,7,1,1074,1,1,1,1,0,0,1,1,1,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,6.980075940561763
1,1,266,3,8457,1,3,5,6,2,4743,1,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,8.464635940677562
0,0,144,2,658,1,22,18,9,1,1647,1,0,1,1,1,1,1,0,0,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,7.4073177104694174
1,0,56,1,5363,4,9,11,19,1,1832,0,0,0,0,0,0,0,1,1,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,7.513709247839705
1,2,59,3,54,3,5,39,15,0,2322,1,1,1,0,1,0,1,0,0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,7.750614732770409
0,1,200,2,1376,3,3,31,15,2,2494,0,0,1,0,0,0,1,1,1,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,7.822044008185619
1,1,135,1,440,1,8,23,18,1,1178,0,0,1,0,0,0,1,1,1,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,7.072421900537371
1,2,146,0,1561,4,12,27,21,0,1427,1,1,0,0,1,0,1,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,7.2640301428995295
0,2,111,3,69,5,9,4,4,1,3226,0,0,0,0,1,1,1,0,0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,8.079308192051961
1,3,114,1,92,3,18,27,4,2,1593,0,1,0,0,1,0,0,0,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,7.374001859350161
1,0,111,1,2893,6,13,16,10,1,1732,0,1,1,1,1,1,1,1,1,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,7.457609289715606
0,0,123,1,1989,6,13,23,8,0,1743,1,1,0,1,1,1,0,0,0,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,7.463936604468925
1,0,225,3,692,6,9,24,15,0,2101,1,1,1,1,1,1,0,0,0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,7.650644551436897
0,2,219,2,7,4,23,42,14,1,2609,0,0,0,0,0,1,1,1,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,7.867105500316739
1,1,104,1,948,6,1,6,22,2,1565,1,0,0,0,1,0,0,1,1,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,7.356279876550748
0,2,126,3,7622,2,6,37,9,1,5272,0,0,0,0,1,0,0,0,0,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,8.57035473953047
1,2,288,0,51,4,15,22,6,0,1220,1,0,1,1,1,1,0,0,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,7.107425474110705
0,3,282,1,2237,6,0,8,5,0,1300,0,1,1,1,0,1,0,1,1,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,7.170888478512505
1,0,69,1,1804,1,6,3,7,0,1024,0,0,0,1,1,1,1,0,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,6.932447891572509
0,3,110,0,85,3,14,4,3,1,706,1,1,1,1,1,1,1,1,1,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,6.561030665896573
0,1,165,2,472,4,17,24,20,2,2582,1,0,1,0,0,0,1,0,0,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,7.8567067930958405
0,1,62,3,5737,1,5,20,20,2,4284,1,0,0,1,0,0,0,1,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,8.36287583103188
1,0,94,1,88,6,17,0,3,1,807,1,1,0,1,1,1,1,1,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,6.694562058521095
1,1,259,2,558,4,4,50,23,1,1991,0,0,0,1,0,1,0,1,1,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,7.596894438144544
0,0,67,1,752,3,14,37,14,1,1817,0,1,0,0,1,0,0,0,0,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,7.505492274737424
0,1,130,1,71,2,10,15,10,0,1490,0,0,1,0,0,1,0,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,7.307202314764738
1,0,258,2,1028,2,13,44,4,2,1561,0,0,1,1,0,1,1,1,1,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,7.3537223303996315
1,2,189,2,1527,4,23,34,10,2,2202,0,0,1,1,0,0,1,1,1,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,7.697575346802343
1,1,262,2,88,5,24,8,15,1,2024,0,0,0,0,0,0,1,1,1,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,7.613324979540639
1,1,157,2,73,4,1,42,22,0,1659,1,0,1,1,1,1,1,1,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,7.414572881350589
1,1,280,3,8320,5,9,0,4,1,3911,1,0,0,1,1,1,0,1,1,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,8.271804031154709
0,3,121,0,72,6,11,4,10,2,1204,0,0,1,1,1,0,1,1,1,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,7.094234845924755
1,0,174,3,9,2,1,40,15,2,2431,1,1,1,0,1,0,1,0,0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,7.796469243086058
0,1,173,2,60,2,16,14,20,1,1640,0,1,1,0,0,0,0,0,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,7.403061091090091
0,3,199,2,13,5,17,6,15,0,1648,1,0,1,1,1,1,1,1,1,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,7.407924322559599
0,0,94,1,32,6,15,5,17,1,1002,0,0,1,1,0,0,1,1,1,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,6.910750787961936
